molecule,functional,basis,wavelength,intensity
Eos_1,M06,6-31+G**,593,4.553194289783854e-05
Eos_1,M06,6-31+G**,594,4.301176527199776e-05
Eos_1,M06,6-31+G**,595,4.062633405873238e-05
Eos_1,M06,6-31+G**,596,3.8368799851910354e-05
Eos_1,M06,6-31+G**,597,3.623263536031767e-05
Eos_1,M06,6-31+G**,598,3.4211622153367665e-05
Eos_1,M06,6-31+G**,599,3.2299837813007315e-05
Eos_1,M06,6-31+G**,600,3.0491643490238752e-05
Eos_1,M06,6-31+G**,601,2.8781671863617612e-05
Eos_1,M06,6-31+G**,602,2.7164815496125492e-05
Eos_1,M06,6-31+G**,603,2.5636215585968406e-05
Eos_1,M06,6-31+G**,604,2.419125110608536e-05
Eos_1,M06,6-31+G**,605,2.2825528326481823e-05
Eos_1,M06,6-31+G**,606,2.1534870712910268e-05
Eos_1,M06,6-31+G**,607,2.0315309194909098e-05
Eos_1,M06,6-31+G**,608,1.9163072795763855e-05
Eos_1,M06,6-31+G**,609,1.8074579616581514e-05
Eos_1,M06,6-31+G**,610,1.704642816634926e-05
Eos_1,M06,6-31+G**,611,1.6075389029588198e-05
Eos_1,M06,6-31+G**,612,1.515839686300718e-05
Eos_1,M06,6-31+G**,613,1.4292542712396268e-05
Eos_1,M06,6-31+G**,614,1.3475066640883745e-05
Eos_1,M06,6-31+G**,615,1.2703350659601249e-05
Eos_1,M06,6-31+G**,616,1.1974911951757895e-05
Eos_1,M06,6-31+G**,617,1.1287396381118531e-05
Eos_1,M06,6-31+G**,618,1.0638572275894928e-05
Eos_1,M06,6-31+G**,619,1.002632447911022e-05
Eos_1,M06,6-31+G**,620,9.448648656564442e-06
Eos_1,M06,6-31+G**,621,8.903645853621658e-06
Eos_1,M06,6-31+G**,622,8.389517292148118e-06
Eos_1,M06,6-31+G**,623,7.904559399059683e-06
Eos_1,M06,6-31+G**,624,7.447159058077475e-06
Eos_1,M06,6-31+G**,625,7.015789076443945e-06
Eos_1,M06,6-31+G**,626,6.6090038585195115e-06
Eos_1,M06,6-31+G**,627,6.22543527835118e-06
Eos_1,M06,6-31+G**,628,5.863788743488909e-06
Eos_1,M06,6-31+G**,629,5.522839442513683e-06
Eos_1,M06,6-31+G**,630,5.201428768934035e-06
Eos_1,M06,6-31+G**,631,4.898460914306841e-06
Eos_1,M06,6-31+G**,632,4.612899623637377e-06
Eos_1,M06,6-31+G**,633,4.343765106317329e-06
Eos_1,M06,6-31+G**,634,4.090131096061932e-06
Eos_1,M06,6-31+G**,635,3.851122053512235e-06
Eos_1,M06,6-31+G**,636,3.6259105053709553e-06
Eos_1,M06,6-31+G**,637,3.41371451414346e-06
Eos_1,M06,6-31+G**,638,3.213795272755759e-06
Eos_1,M06,6-31+G**,639,3.025454818519779e-06
Eos_1,M06,6-31+G**,640,2.848033861112819e-06
Eos_1,M06,6-31+G**,641,2.6809097194302324e-06
Eos_1,M06,6-31+G**,642,2.5234943623608273e-06
Eos_1,M06,6-31+G**,643,2.375232548720181e-06
Eos_1,M06,6-31+G**,644,2.235600061759373e-06
Eos_1,M06,6-31+G**,645,2.1041020338449217e-06
Eos_1,M06,6-31+G**,646,1.9802713570794734e-06
Eos_1,M06,6-31+G**,647,1.8636671758026322e-06
Eos_1,M06,6-31+G**,648,1.75387345707612e-06
Eos_1,M06,6-31+G**,649,1.6504976354179122e-06
Eos_1,M06,6-31+G**,650,1.5531693282063249e-06
Eos_1,M06,6-31+G**,651,1.461539118325436e-06
Eos_1,M06,6-31+G**,652,1.3752774007704393e-06
Eos_1,M06,6-31+G**,653,1.294073290072795e-06
Eos_1,M06,6-31+G**,654,1.2176335855424634e-06
Eos_1,M06,6-31+G**,655,1.1456817914567725e-06
Eos_1,M06,6-31+G**,656,1.0779571894534662e-06
Eos_1,M06,6-31+G**,657,1.0142139605087091e-06
Eos_1,M06,6-31+G**,658,9.542203539997637e-07
Eos_1,M06,6-31+G**,659,8.97757901466322e-07
Eos_1,M06,6-31+G**,660,8.446206727948045e-07
Eos_1,M06,6-31+G**,661,7.946145726555974e-07
Eos_1,M06,6-31+G**,662,7.475566751251219e-07
